INSTNM,SAT_AVG_ALL,UGDS,UGDS_WHITE,MD_EARN_WNE_P10
Alabama A & M University,850,4505,0.034,29900
University of Alabama at Birmingham,1147,11269,0.5863,40200
Amridge University,NULL,308,0.211,40100
University of Alabama in Huntsville,1221,5829,0.7024,45600
Alabama State University,844,4740,0.0165,26700
The University of Alabama,1181,31005,0.7807,42700
Central Alabama Community College,NULL,1546,0.7141,27200
Athens State University,NULL,2904,0.7817,38500
Auburn University at Montgomery,990,4142,0.5355,33500
Auburn University,1218,21551,0.842,47100
Birmingham Southern College,1167,1346,0.7912,45600
Chattahoochee Valley Community College,NULL,1566,0.4662,26300
Concordia College Alabama,NULL,379,0.0317,20600
South University-Montgomery,NULL,460,0.3283,30300
Enterprise State Community College,NULL,1528,0.6296,29800
James H Faulkner State Community College,NULL,4372,0.6921,28700
Faulkner University,985,2282,0.3996,35900
Gadsden State Community College,NULL,4613,0.6978,25400
New Beginning College of Cosmetology,NULL,91,0.8791,NULL
George C Wallace State Community College-Dothan,NULL,4173,0.6348,24800
George C Wallace State Community College-Hanceville,NULL,4821,0.8486,31100
George C Wallace State Community College-Selma,NULL,1383,0.1902,23100
Herzing University-Birmingham,NULL,360,0.3722,40300
Huntingdon College,992,1160,0.631,36800
Heritage Christian University,848,58,0.7586,PrivacySuppressed
J F Drake State Community and Technical College,NULL,820,0.3671,22200
Jacksonville State University,1062,6625,0.6981,35000
Jefferson Davis Community College,NULL,1036,0.5647,24100
Jefferson State Community College,NULL,7381,0.6708,30100
John C Calhoun State Community College,NULL,8547,0.6595,27300
Judson College,1031,373,0.7802,27800
Lawson State Community College-Birmingham Campus,NULL,3003,0.1532,24000
University of West Alabama,930,1913,0.4511,36200
Lurleen B Wallace Community College,NULL,1412,0.699,25500
Marion Military Institute,1061,450,0.6067,45900
Miles College,NULL,1869,0.0161,25300
University of Mobile,1025,1437,0.6159,35000
University of Montevallo,1069,2553,0.7164,33100
Northwest-Shoals Community College,NULL,3047,0.7762,25000
University of North Alabama,1027,5698,0.7102,36400
Northeast Alabama Community College,NULL,2050,0.84,28100
Oakwood University,923,1687,0.0047,32200
Alabama Southern Community College,NULL,1151,0.5343,22800
Prince Institute-Southeast,NULL,25,0.92,PrivacySuppressed
Reid State Technical College,NULL,422,0.4336,19900
Bishop State Community College,NULL,2701,0.2469,21900
Samford University,1162,3145,0.8143,46300
Selma University,NULL,312,0.0513,PrivacySuppressed
Shelton State Community College,NULL,4478,0.5683,25700
Snead State Community College,NULL,2178,0.7691,26700
University of South Alabama,1045,11379,0.5896,37000
Spring Hill College,1120,1347,0.6852,42400
Southeastern Bible College,1045,151,0.5828,31600
Stillman College,831,843,0.0581,27200
Talladega College,NULL,919,0.0283,23800
H Councill Trenholm State Community College,NULL,1282,0.3877,23200
Troy University,1046,14065,0.5345,35800
